"Package","Version","Priority"
"base","4.2.2","base"
"boot","1.3-28.1","recommended"
"class","7.3-21","recommended"
"cluster","2.1.4","recommended"
"codetools","0.2-19","recommended"
"compiler","4.2.2","base"
"datasets","4.2.2","base"
"foreign","0.8-84","recommended"
"graphics","4.2.2","base"
"grDevices","4.2.2","base"
"grid","4.2.2","base"
"KernSmooth","2.23-20","recommended"
"lattice","0.20-45","recommended"
"MASS","7.3-58.2","recommended"
"Matrix","1.5-3","recommended"
"methods","4.2.2","base"
"mgcv","1.8-41","recommended"
"nlme","3.1-162","recommended"
"nnet","7.3-18","recommended"
"parallel","4.2.2","base"
"rpart","4.1.19","recommended"
"spatial","7.3-16","recommended"
"splines","4.2.2","base"
"stats","4.2.2","base"
"stats4","4.2.2","base"
"survival","3.5-3","recommended"
"tcltk","4.2.2","base"
"tools","4.2.2","base"
"utils","4.2.2","base"
